Sort-Nr.;BCNr;Teiln. IBAN-Tool;PZ-Vali-dierung;BC-NR IID;Land-code;Postkonto Input;Postkonto Output;SWIFT;e-mail-Adresse Bemerkungen für Entwickler;Mutations-datum;Hauptsitz;BC-Art;Bank/Institut;SIC;euro-sic;Sprache;Kurzbez.;Domizil;Postadresse;PLZ;Ort;Telefon;Fax;Vorwahl
664;6850;1;1;6850;CH;30-38225-3;30-38225-3;RBABCH22850;;20050312;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bahnhofstrasse 3;Postfach;8620;Wetzikon ZH;044 933 54 00;044 933 54 09;
665;6850;1;1;6850;CH;30-38167-6; 30-38225-3;;;20060210;6850;3;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bahnhofstrasse 7;;8340;Hinwil;044 938 89 89;044 938 89 90;
666;6850;1;1;6850;CH;80-4881-2; 30-38225-3;;;20060210;6850;3;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Rütistrasse 9;;8636;Wald ZH;055 256 20 80;055 256 20 89;
667;68501;1;;;;80-9446-0;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bahnhofstrasse 7;Postfach;8340;Hinwil;01 938 89 89;01 938 89 90;
668;68502;1;;;;80-3885-9;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Rütistrasse 9;Postfach;8636;Wald ZH;055 256 20 80;055 256 20 89;
669;68503;1;;;;80-7327-6;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Ferrachstrasse 8;Postfach;8630;Rüti ZH;055 251 40 50;055 251 40 59;
670;68503;1;;;;80-73270-9;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Ferrachstrasse 8;Postfach;8630;Rüti ZH;055 251 40 50;055 251 40 59;
671;68504;1;;;;80-14106-2;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Dorfstrasse 24;Postfach;8608;Bubikon;055 243 16 17;055 243 35 23;
672;68505;1;;;;;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bahnhofstrasse 16;Postfach;8330;Pfäffikon ZH;01 952 15 15;01 952 15 00;
673;68505;1;;;;80-261-4;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bahnhofstrasse 16;Postfach;8330;Pfäffikon ZH;01 952 15 15;01 952 15 00;
674;68506;1;;;;80-2575-6;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Bruggwiesenstrasse 5;Postfach;8307;Effretikon;052 355 11 22;052 355 11 33;
675;68507;1;;;;84-526-6;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Dorfstrasse 46;Postfach;8494;Bauma;052 386 22 44;052 386 20 10;
676;68508;1;;;;84-3631-2;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Usterstrasse 11;Postfach;8308;Illnau;052 355 22 55;052 355 22 59;
677;68509;1;;;;84-1203-8;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Dorfstrasse 30;Postfach;8484;Weisslingen;052 397 30 10;052 397 30 15;
678;68511;1;;;;80-389-4;;;;20050301;6850;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Kempttalstrasse 48;Postfach;8320;Fehraltorf;01 954 18 88;01 954 17 90;
679;6858;1;1;6858;CH;30-38129-1;30-38129-1;RBABCH22858;;20040626;6858;1;BS Bank Schaffhausen AG;1;3;1;BS Bank;Heerengarten 16;Postfach;8215;Hallau;0844 840 850;052 681 41 31;
680;6858;1;1;6858;CH;30-38177-9; 30-38129-1;;;20000418;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Poststrasse 38;Postfach 134;8226;Schleitheim;0844 840 850;052 680 20 50;
681;6858;1;1;6858;CH;30-38213-0; 30-38129-1;;;20000418;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Hauptstrasse 29;Postfach;8224;Löhningen;0844 840 850;052 685 32 45;
682;6858;1;1;6858;CH;82-23-3; 30-38129-1;;;20000418;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Dorfstrasse 15;Postfach 66;8217;Wilchingen;0844 840 850;052 681 46 84;
683;6858;1;1;6858;CH;82-64-7; 30-38129-1;;;20000418;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Zelgstrasse 8;Postfach 205;8222;Beringen;0844 840 850;052 685 34 44;
684;6858;1;1;6858;CH;82-145-5; 30-38129-1;;;20050428;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Klettgauerplatz 5;Postfach 58;8213;Neunkirch;0844 840 850;052 687 07 17;
685;6858;1;1;6858;CH;82-492-6; 30-38129-1;;;20050428;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Klettgauerplatz 5;Postfach 58;8213;Neunkirch;0844 840 850;052 687 07 17;
686;6858;1;1;6858;CH;82-349-7; 30-38129-1;;;20040626;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Industriestrasse 12;Postfach 1034;8212;Neuhausen am Rheinfall;0844 840 850;052 675 54 10;
687;6858;1;1;6858;CH;82-1121-3; 30-38129-1;;;20040626;6858;3;BS Bank Schaffhausen AG;1;3;1;BS Bank;Industriestrasse 12;Postfach 1034;8212;Neuhausen am Rheinfall;0844 840 850;052 675 54 10;
688;6866;1;1;6866;CH;30-38143-2;30-38143-2;RBABCH22866;;20060210;6866;1;Spar- und Leihkasse Thayngen AG;1;3;1;S + L Thayngen;Bahnhofstrasse 32;Postfach 200;8240;Thayngen;052 645 00 50;052 645 00 68;
689;6866;1;1;6866;CH;30-38208-0; 30-38143-2;;;20040626;6866;3;Spar- und Leihkasse Thayngen AG;1;3;1;S + L Thayngen;Hauptstrasse 52;Postfach;8232;Merishausen;052 653 14 00;052 653 15 91;
690;6870;1;;;;;;;;20050730;6870;2;Sparkasse Thalwil;3;3;1;SK Thalwil;Gotthardstrasse 14;Postfach;8800;Thalwil;044 723 88 88;044 723 88 00;
691;68701;1;;;;;;;;20050730;6870;2;Sparkasse Thalwil;3;3;1;SK Thalwil;Albisstrasse 15;Postfach;8134;Adliswil 1;044 712 60 30;044 712 60 39;
692;68702;1;;;;;;;;20050730;6870;2;Sparkasse Thalwil;3;3;1;SK Thalwil;Bahnhofstrasse 7;Postfach;8802;Kilchberg ZH;044 716 50 50;044 716 50 59;
693;68703;1;;;;;;;;20050730;6870;2;Sparkasse Thalwil;3;3;1;SK Thalwil;Neue Dorfstrasse 15;Postfach;8135;Langnau am Albis;044 713 22 24;044 713 22 25;
694;6873;1;1;6873;CH;30-38113-1;30-38113-1;SKWWCH22XXX;;20090711;6873;1;Sparkasse Wiesendangen;1;3;1;SK Wiesendangen;Schulstrasse 21;Postfach;8542;Wiesendangen;052 320 99 66;052 320 99 69;
695;6873;1;1;6873;CH;84-1080-8;30-38113-1;SKWWCH22XXX;;20090711;6873;1;Sparkasse Wiesendangen;1;3;1;SK Wiesendangen;Schulstrasse 21;Postfach;8542;Wiesendangen;052 320 99 66;052 320 99 69;
696;6875;1;1;6875;CH;30-38125-9;30-38125-9;RBABCH22875;;20010714;6875;1;Leihkasse Stammheim;1;3;1;LK Stammheim;Hauptstrasse 6;Postfach;8477;Oberstammheim;052 745 21 15;052 745 26 74;
697;6875;1;1;6875;CH;84-162-3;30-38125-9;RBABCH22875;;20010714;6875;1;Leihkasse Stammheim;1;3;1;LK Stammheim;Hauptstrasse 6;Postfach;8477;Oberstammheim;052 745 21 15;052 745 26 74;
698;6877;1;1;6877;CH;30-38183-6;30-38183-6;RBABCH22877;;20000418;6877;1;Zürcher Landbank AG;1;3;1;ZLB;Am Lindenplatz;Postfach 373;8353;Elgg;052 368 58 58;052 368 58 59;
699;6877;1;1;6877;CH;84-724-8;30-38183-6;RBABCH22877;;20000418;6877;1;Zürcher Landbank AG;1;3;1;ZLB;Am Lindenplatz;Postfach 373;8353;Elgg;052 368 58 58;052 368 58 59;
700;6886;1;;;;30-38157-0;;RBABCH22886;;20051125;6886;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Untere Heslibachstrasse 9;Postfach 1508;8700;Küsnacht ZH;044 913 39 00;044 913 39 15;
701;6886;1;;;;80-4755-8;;RBABCH22886;;20051125;6886;1;Clientis Zürcher Regionalbank Genossenschaft;1;3;1;Zürcher Reg.bk;Untere Heslibachstrasse 9;Postfach 1508;8700;Küsnacht ZH;044 913 39 00;044 913 39 15;
702;6888;1;1;6888;CH;30-38102-7;30-38102-7;RBABCH22888;;20060209;6888;1;Clientis Bezirkssparkasse Uster Genossenschaft;1;3;1;BSU Uster;Bankstrasse 21;Postfach;8610;Uster 1;044 777 07 77;044 777 07 78;
703;6888;1;1;6888;CH;80-5897-3; 30-38102-7;;;20060211;6888;3;Clientis Bezirkssparkasse Uster Genossenschaft;1;3;1;BSU Uster;Bahnhofstrasse 36;Postfach;8600;Dübendorf;044 777 07 77;044 777 08 78;
704;6890;0;;;CH;;;;;20050305;6890;1;Pfandbriefbank schweizerischer Hypothekarinstitute;3;0;1;Pfandbriefbank;Nansenstrasse 16;Postfach 6446;8050;Zürich;044 315 44 55;044 315 44 66;
705;6900;1;1;6900;CH;30-38175-8;30-38175-8;CASGCH22XXX;;20090711;6900;1;Bank CA St. Gallen AG;1;3;1;Bank CA;Marktplatz 1;Postfach;9004;St. Gallen;071 226 73 73;071 226 75 00;
706;6900;1;1;6900;CH;90-266-5;30-38175-8;CASGCH22XXX;;20090712;6900;1;Bank CA St. Gallen AG;1;3;1;Bank CA;Marktplatz 1;Postfach;9004;St. Gallen;071 226 73 73;071 226 75 00;
707;6910;1;1;6910;CH;30-38241-3;30-38241-3;SRBWCH22XXX;;20090711;6910;1;swissregiobank;1;3;1;swissregiobank;Poststrasse 4;Postfach;9201;Gossau SG;071 388 75 55;071 388 75 50;
708;6910;1;1;6910;CH;90-205-5; 30-38241-3;SRBWCH22XXX;;20090712;6910;3;swissregiobank;1;3;1;swissregiobank;Mittlere Bahnhofstrasse 2;Postfach;8853;Lachen SZ;055 451 90 80;055 442 44 37;
709;6920;1;1;6920;CH;30-38154-9;30-38154-9;ARBHCH22XXX;;20090711;6920;1;Alpha RHEINTAL Bank AG;1;3;1;ALPHA RHEINTAL;Auerstrasse 1;Postfach;9442;Berneck;071 747 95 95;071 747 95 90;
710;6935;1;1;6935;CH;30-38122-2;30-38122-2;RBABCH22935;;20051030;6935;1;Clientis Bank Oberuzwil AG;1;3;1;EA Oberuzwil;Wiesentalstrasse 11;Postfach;9242;Oberuzwil;071 955 03 03;071 955 03 04;
711;6935;1;1;6935;CH;90-2688-0;30-38122-2;RBABCH22935;;20051030;6935;1;Ersparnisanstalt Oberuzwil;1;3;1;EA Oberuzwil;Wiesentalstrasse 11;Postfach;9242;Oberuzwil;071 955 03 03;071 955 03 04;
712;6950;1;1;6950;CH;90-4084-1;30-38219-3;RBABCH22950;;20000418;6950;1;VADIAN BANK AG;1;3;1;EA St. Gallen;Webergasse 8;Postfach 561;9001;St. Gallen;071 228 84 84;071 228 84 85;
713;6950;1;1;6950;CH;30-38219-3;30-38219-3;RBABCH22950;;20000418;6950;1;VADIAN BANK AG;1;3;1;EA St. Gallen;Webergasse 8;Postfach 561;9001;St. Gallen;071 228 84 84;071 228 84 85;
714;6955;1;1;6955;CH;30-38124-3;30-38124-3;RBABCH22955;;19991009;6955;1;Clientis Bank Toggenburg AG;1;3;1;Clientis Bank ;Gähwilerstrasse 7;Postfach;9533;Kirchberg SG;071 932 36 36;071 932 36 37;
715;6964;1;1;6964;CH;30-38204-3;30-38204-3;;;20010527;6964;1;Bank in Zuzwil;1;3;1;Bank Zuzwil;Mitteldorfstrasse 48;Postfach;9524;Zuzwil SG;071 944 15 51;071 944 27 52;
716;6964;1;1;6964;CH;90-3963-7;30-38204-3;;;20010527;6964;1;Bank in Zuzwil;1;3;1;Bank Zuzwil;Mitteldorfstrasse 48;Postfach;9524;Zuzwil SG;071 944 15 51;071 944 27 52;
717;6977;1;1;6977;CH;30-38245-0;30-38245-0;;;20040626;6977;1;Clientis Bank Thur Genossenschaft;1;3;1;Bank Thur;Kappler Strasse 21;Postfach;9642;Ebnat-Kappel;071 992 35 35;071 992 35 36;
718;6977;1;1;6977;CH;90-1489-8;30-38245-0;;;20040626;6977;1;Clientis Bank Thur Genossenschaft;1;3;1;Bank Thur;Kappler Strasse 21;Postfach;9642;Ebnat-Kappel;071 992 35 35;071 992 35 36;
719;6977;1;1;6977;CH;; 30-38245-0;;;20030710;6977;3;Clientis Bank Thur Genossenschaft;1;3;1;Bank Thur;Stitz;;9657;Unterwasser;071 999 12 15;071 999 39 15;
720;6977;1;1;6977;CH;90-4596-2; 30-38245-0;;;20030710;6977;3;Clientis Bank Thur Genossenschaft;1;3;1;Bank Thur;Stitz;;9657;Unterwasser;071 999 12 15;071 999 39 15;
721;6980;1;1;6980;CH;30-38259-5;30-38259-5;RBABCH22980;;20000426;6980;1;Biene - Bank im Rheintal;1;3;1;Biene - Bank;Rorschacherstrasse 9;Postfach;9450;Altstätten SG;071 757 82 82;071 757 82 83;
722;6980;1;1;6980;CH;90-287-9; 30-38259-5;;;20040626;6980;3;Biene - Bank im Rheintal;1;3;1;Biene - Bank;Staatsstrasse 100;Postfach;9464;Rüthi SG;071 757 83 60;071 757 83 61;
723;6980;1;1;6980;CH;90-558-1; 30-38259-5;;;20040626;6980;3;Biene - Bank im Rheintal;1;3;1;Biene - Bank;Bahnhofstrasse 20;Postfach;9443;Widnau;071 757 83 40;071 757 83 41;
724;6980;1;1;6980;CH;90-841-9; 30-38259-5;;;20040626;6980;3;Biene - Bank im Rheintal;1;3;1;Biene - Bank;Bahnhofstrasse 20;Postfach;9443;Widnau;071 757 83 40;071 757 83 41;
725;700;1;1;700;CH;80-151-4;80-151-4;ZKBKCHZZ80A;;20050305;700;1;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8010;Zürich;044 293 93 93;;
726;702;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Wiedikon (ex. Enge);Postfach;8036;Zürich;044 454 33 33;;
727;703;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;(Limmatquai);Postfach;8010;Zürich;044 265 67 67;;
728;703;1;1;700;CH;; 80-151-4;;;20050305;700;3;Zürcher Kantonalbank;1;1;1;ZKB;(Universitätsspital);Postfach;8010;Zürich;044 292 67 57;;
729;704;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8712;Stäfa;044 928 35 35;;
730;705;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8604;Volketswil;044 908 25 25;;
731;706;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8953;Dietikon 1;044 745 36 36;;
732;706;1;1;700;CH;; 80-151-4;;;20050312;700;3;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8954;Geroldswil;044 747 80 77;;
733;708;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Affoltern;Postfach;8046;Zürich;044 377 91 91;;
734;709;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8902;Urdorf;044 735 86 86;;
735;710;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8126;Zumikon;044 918 71 71;;
736;710;1;1;700;CH;; 80-151-4;;;20050312;700;3;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8125;Zollikerberg;044 396 63 33;;
737;711;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Altstetten;Postfach;8048;Zürich;044 434 71 71;;
738;712;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;(Aussersihl);Postfach;8036;Zürich;044 297 71 11;;
739;713;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Neumünster;Postfach;8032;Zürich;044 387 51 51;;
740;714;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Unterstrass;Postfach;8042;Zürich;044 368 18 18;;
741;715;1;1;700;CH;; 80-151-4;;;20051022;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Wiedikon;Postfach;8036;Zürich;044 454 33 33;;
742;716;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Wipkingen;Postfach;8037;Zürich;044 292 16 16;;
743;717;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Wollishofen;Postfach;8038;Zürich;044 487 21 11;;
744;717;1;1;700;CH;; 80-151-4;;;20050312;700;3;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8802;Kilchberg ZH;044 716 14 14;;
745;718;1;1;700;CH;; 80-151-4;;;20050316;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Schwamendingen;Postfach;8051;Zürich;044 325 14 14;;
746;719;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Seebach;Postfach;8052;Zürich;044 308 24 24;;
747;720;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Albisrieden;Postfach;8047;Zürich;044 405 95 95;;
748;721;1;1;700;CH;; 80-151-4;;;20050311;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8910;Affoltern am Albis;044 763 51 11;;
749;722;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8450;Andelfingen;052 304 25 25;;
750;723;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8494;Bauma;052 396 52 52;;
751;724;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8180;Bülach;044 872 17 17;;
752;725;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8157;Dielsdorf;044 854 91 11;;
753;726;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8810;Horgen 1;044 727 27 27;;
754;727;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8706;Meilen;044 925 26 11;;
755;728;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Oerlikon;Postfach;8050;Zürich;044 318 91 11;;
756;729;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8630;Rüti ZH;055 251 43 43;;
757;730;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8610;Uster 1;044 905 44 44;;
758;731;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8636;Wald ZH;055 256 55 55;;
759;732;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8401;Winterthur;052 264 61 61;;
760;733;1;1;700;CH;; 80-151-4;;;20020821;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8307;Effretikon;052 354 75 75;;
761;734;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Witikon;Postfach;8053;Zürich;044 384 85 85;;
762;735;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8132;Egg b. Zürich;044 986 31 11;;
763;736;1;1;700;CH;; 80-151-4;;;20050305;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Höngg;Postfach;8049;Zürich;044 344 54 54;;
764;737;1;1;700;CH;; 80-151-4;;;20050806;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Klusplatz;Postfach;8032;Zürich;044 387 93 93;;
765;738;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8152;Glattbrugg;044 874 35 35;;
766;739;1;1;700;CH;; 80-151-4;;;20050416;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach 17;8634;Hombrechtikon;055 254 02 11;;
767;740;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8600;Dübendorf 1;044 802 13 11;;
768;741;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8193;Eglisau;044 868 28 28;;
769;741;1;1;700;CH;; 80-151-4;;;20050312;700;3;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8197;Rafz;044 879 10 40;;
770;742;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8320;Fehraltorf;044 956 61 11;;
771;743;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8245;Feuerthalen;052 647 40 00;;
772;744;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8302;Kloten;044 804 22 11;;
773;745;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8700;Küsnacht ZH;044 914 73 73;;
774;746;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8708;Männedorf;044 921 61 61;;
775;747;1;1;700;CH;; 80-151-4;;;20050319;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8805;Richterswil;044 787 41 41;;
776;748;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8952;Schlieren;044 738 94 94;;
777;749;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8801;Thalwil;044 722 92 92;;
778;750;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8488;Turbenthal;052 397 20 30;;
779;751;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8304;Wallisellen;044 839 31 11;;
780;752;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8330;Pfäffikon ZH;044 952 19 19;;
781;753;1;1;700;CH;; 80-151-4;;;20000426;700;2;Zürcher Kantonalbank;1;1;1;ZKB;Oberwinterthur;Postfach;8404;Winterthur;052 244 45 45;;
782;754;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8340;Hinwil;044 938 37 37;;
783;755;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8622;Wetzikon ZH 2;044 933 02 11;;
784;756;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8105;Regensdorf 1;044 871 13 13;;
785;757;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8820;Wädenswil;044 783 91 11;;
786;758;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8134;Adliswil 1;044 711 12 13;;
787;759;1;1;700;CH;; 80-151-4;;;20050312;700;2;Zürcher Kantonalbank;1;1;1;ZKB;;Postfach;8303;Bassersdorf;044 838 17 17;;
788;761;1;0;761;CH;50-6-9;50-6-9;KBAGCH22XXX;;20010628;761;1;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5001;Aarau;062 835 77 77;062 835 77 84;
789;761;1;0;761;CH;50-1465-8; 50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5722;Gränichen;062 855 50 80;062 855 50 88;
790;761;1;0;761;CH;50-1829-2; 50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5600;Lenzburg 2;062 888 50 60;062 888 50 61;
791;761;1;0;761;CH;50-3672-7;50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5734;Reinach AG;062 765 80 50;062 765 80 55;
792;761;1;0;761;CH;50-4242-6;50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5034;Suhr;062 842 89 89;062 842 89 80;
793;761;1;0;761;CH;50-5422-7;50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5103;Wildegg;062 893 36 36;062 893 22 74;
794;761;1;0;761;CH;50-7090-8;50-6-9;;;19990424;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5103;Wildegg;062 893 36 36;062 893 22 74;
795;76120;1;0;761;CH;50-191-1;50-6-9;KBAGCH2254A;;20040211;761;2;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5401;Baden;056 203 01 01;056 203 02 02;
796;76120;1;0;761;CH;50-627-2;50-6-9;;;20051120;761;3;Aargauische Kantonalbank;1;3;1;AKB;Lenzburgerstrasse 19;Postfach;5507;Mellingen;056 491 90 00;056 491 90 09;
797;76120;1;0;761;CH;50-3092-6;50-6-9;;;20040207;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5415;Nussbaumen b. Baden;056 296 20 20;056 296 20 29;
798;76121;1;0;761;CH;50-7398-0;50-6-9;KBAGCH2254C;;20040212;761;2;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5430;Wettingen 1;056 437 33 33;056 437 33 99;
799;76130;1;0;761;CH;50-587-7;50-6-9;KBAGCH2252A;;20040212;761;2;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5201;Brugg AG;056 448 95 95;056 448 96 40;
800;76130;1;0;761;CH;50-870-6;50-6-9;;;20040211;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5242;Birr-Lupfig;056 464 20 80;056 464 20 88;
801;76130;1;0;761;CH;50-1331-8;50-6-9;;;20040211;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5312;Döttingen;056 268 61 11;056 268 61 12;
802;76140;1;0;761;CH;50-357-9;50-6-9;KBAGCH2243A;;20040212;761;2;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;4310;Rheinfelden;061 836 31 31;061 836 31 55;
803;76140;1;0;761;CH;50-625-6;50-6-9;;;20040211;761;3;Aargauische Kantonalbank;1;3;1;AKB;;Postfach;5070;Frick;062 871 68 78;062 871 68 48;
